GENE,TYPE,ALPH,SQLN,P_A,P_C,P_G,P_T,P_CA,P_AG,P_TA,P_CG,P_TC,P_TG
123,exon,0.121075,427,0.305542,0.201392,0.287497,0.205569,0.226585,1.000000,0.019575,0.064901,0.484552,0.151243
124,exon,0.057248,783,0.277226,0.258820,0.227587,0.236367,0.312503,1.000000,0.092054,0.097947,0.213505,0.144145
125,exon,0.145054,481,0.280479,0.263709,0.249987,0.205826,0.494768,1.000000,0.048964,0.072122,0.296691,0.205498
126,exon,0.021638,1208,0.304146,0.172738,0.245217,0.277898,0.564431,1.000000,0.067586,0.072407,0.335616,0.273011
127,exon,0.295029,1051,0.364480,0.203908,0.236294,0.195318,0.085729,1.000000,0.066579,0.093414,0.371828,0.096054
128,exon,0.089038,649,0.311831,0.220769,0.277775,0.189625,0.556962,1.000000,0.084821,0.085297,0.249878,0.283129
129,exon,1.032652,1175,0.349406,0.239053,0.237465,0.174076,0.149901,1.000000,0.024207,0.133256,0.301848,0.194484
130,exon,0.062955,436,0.299516,0.257157,0.225407,0.217920,0.109593,1.000000,0.039811,0.152040,0.376301,0.084778
131,exon,0.046366,805,0.331062,0.233982,0.238286,0.196671,0.293651,1.000000,0.016732,0.160011,0.335981,0.162784
132,exon,0.178652,1155,0.305291,0.225391,0.253095,0.216223,0.146456,1.000000,0.020911,0.072550,0.364341,0.149913
133,exon,0.068295,1245,0.382121,0.236340,0.190002,0.191537,0.733874,1.000000,0.094459,0.100056,0.172042,0.154724
134,exon,0.307282,1526,0.249762,0.305202,0.240840,0.204195,0.123380,1.000000,0.003972,0.071104,0.300930,0.194347
135,exon,0.180706,1292,0.337118,0.236046,0.259270,0.167566,0.159231,1.000000,0.071692,0.079629,0.304458,0.191087
136,exon,0.261327,1201,0.307183,0.272067,0.221625,0.199125,0.490824,1.000000,0.116361,0.070493,0.241483,0.191905
137,exon,0.025759,1647,0.389161,0.202856,0.233307,0.174675,0.343067,1.000000,0.007526,0.066650,0.432494,0.238659
138,exon,0.367852,628,0.313012,0.231498,0.260619,0.194871,0.273971,1.000000,0.027455,0.105747,0.412321,0.141545
139,exon,0.266547,583,0.297596,0.235016,0.232191,0.235197,0.492022,1.000000,0.023655,0.190231,0.234345,0.167234
140,exon,0.233653,752,0.301675,0.202846,0.255728,0.239752,0.154399,1.000000,0.045756,0.174400,0.293035,0.172993
141,exon,0.154517,309,0.337162,0.185069,0.252063,0.225705,0.063698,1.000000,0.186991,0.066162,0.301224,0.178032
142,exon,0.180264,1262,0.390915,0.191176,0.207329,0.210580,0.300186,1.000000,0.059040,0.062262,0.362119,0.194184
143,exon,0.227995,360,0.305392,0.213214,0.251520,0.229874,0.486817,1.000000,0.036219,0.076243,0.368171,0.241126
144,exon,0.053778,432,0.317512,0.248822,0.224634,0.209032,0.387798,1.000000,0.055874,0.078923,0.311403,0.178138
145,exon,0.028921,327,0.338080,0.203644,0.234889,0.223387,0.327714,1.000000,0.124245,0.167206,0.308177,0.112655
146,exon,0.243661,617,0.323308,0.207893,0.225800,0.243000,0.267757,1.000000,0.155489,0.138155,0.220873,0.097212
147,exon,0.061910,887,0.298521,0.242272,0.228468,0.230739,0.263042,1.000000,0.025684,0.055887,0.251252,0.433115
148,exon,0.674747,457,0.302031,0.244882,0.219696,0.233391,0.485881,1.000000,0.083175,0.137258,0.161941,0.130136
149,exon,0.103022,2045,0.333667,0.236198,0.196193,0.233941,0.226352,1.000000,0.023609,0.115340,0.253654,0.274678
150,exon,0.025492,1055,0.361594,0.205386,0.228271,0.204748,0.008394,1.000000,0.010141,0.190312,0.296325,0.220444
151,exon,0.083234,263,0.344181,0.268177,0.195206,0.192435,0.413671,1.000000,0.044418,0.183129,0.413424,0.138746
152,exon,0.033705,655,0.337547,0.236527,0.192099,0.233827,0.590032,1.000000,0.065548,0.136375,0.333610,0.239320
153,exon,0.471601,323,0.342053,0.229120,0.243179,0.185649,0.406579,1.000000,0.058499,0.101580,0.280674,0.164396
154,exon,0.125439,647,0.339405,0.239698,0.213088,0.207809,0.534905,1.000000,0.130463,0.074460,0.377911,0.160876
155,exon,0.042850,669,0.349249,0.246532,0.244201,0.160018,0.485453,1.000000,0.025581,0.148777,0.183877,0.217628
156,exon,0.212906,775,0.310872,0.227871,0.269078,0.192179,0.572803,1.000000,0.111142,0.079590,0.392803,0.208231
157,exon,0.059238,714,0.312436,0.229274,0.233198,0.225092,0.230147,1.000000,0.019461,0.061549,0.399532,0.216845
158,exon,0.358532,827,0.308930,0.211809,0.261285,0.217977,0.277035,1.000000,0.130563,0.072480,0.195682,0.165491
159,exon,0.082483,1294,0.321688,0.245667,0.203989,0.228655,0.386493,1.000000,0.093089,0.046335,0.378162,0.122465
160,exon,0.390246,423,0.264178,0.248072,0.288688,0.199062,0.213683,1.000000,0.052871,0.059743,0.129933,0.325538
161,exon,0.007827,1096,0.334687,0.255988,0.208822,0.200503,0.187772,1.000000,0.023926,0.076050,0.347976,0.117428
162,exon,0.347347,382,0.322067,0.221745,0.237559,0.218628,0.504369,1.000000,0.034759,0.052516,0.453679,0.121925
163,exon,0.216777,735,0.364632,0.222720,0.232644,0.180003,0.457033,1.000000,0.053665,0.044511,0.185374,0.226267
164,exon,0.594749,641,0.273481,0.239083,0.194441,0.292995,0.181741,1.000000,0.064512,0.029248,0.464890,0.185703
165,exon,0.152432,316,0.362818,0.169715,0.260716,0.206751,0.154279,1.000000,0.033863,0.086698,0.185454,0.118576
166,exon,0.605230,780,0.307348,0.250461,0.237088,0.205102,0.264580,1.000000,0.093424,0.153517,0.275046,0.114278
167,exon,0.219488,992,0.299992,0.240925,0.235649,0.223434,0.160724,1.000000,0.092658,0.104404,0.341924,0.214584
168,exon,0.302783,724,0.256328,0.207074,0.265277,0.271322,0.300498,1.000000,0.028057,0.130504,0.248077,0.195594
169,exon,0.137815,300,0.377939,0.207228,0.233913,0.180920,0.746502,1.000000,0.105985,0.095261,0.294755,0.131576
170,exon,0.150345,969,0.305330,0.241472,0.222140,0.231057,0.323043,1.000000,0.071564,0.078249,0.365715,0.143754
171,exon,0.214729,1447,0.364075,0.219542,0.216831,0.199553,0.148291,1.000000,0.017028,0.123676,0.147797,0.278519
172,exon,0.527807,1275,0.301486,0.248621,0.248732,0.201162,0.125341,1.000000,0.017694,0.126826,0.418320,0.133805
173,exon,0.030080,1419,0.314856,0.214590,0.234695,0.235859,0.164266,1.000000,0.027256,0.067567,0.365523,0.167647
174,exon,0.026112,1180,0.297437,0.210350,0.253760,0.238454,0.191318,1.000000,0.043929,0.124783,0.355709,0.275292
175,exon,0.082168,1343,0.344512,0.232968,0.267914,0.154605,0.547662,1.000000,0.076849,0.143529,0.265546,0.190780
176,exon,0.779383,926,0.261094,0.207828,0.271751,0.259327,0.335681,1.000000,0.025362,0.096604,0.305405,0.240018
177,exon,0.079605,785,0.353299,0.228627,0.236307,0.181767,0.634428,1.000000,0.028037,0.072980,0.422767,0.105505
178,exon,0.071137,1117,0.279586,0.258546,0.239852,0.222016,0.217963,1.000000,0.012177,0.138887,0.404475,0.148956
179,exon,0.162285,1231,0.290877,0.210980,0.278378,0.219765,0.394117,1.000000,0.065045,0.124363,0.262590,0.287416
180,exon,0.057936,350,0.378454,0.243979,0.237697,0.139870,0.305642,1.000000,0.046936,0.105574,0.331431,0.249906
181,exon,0.042264,386,0.395957,0.135217,0.227396,0.241430,0.442525,1.000000,0.066228,0.214692,0.343355,0.077322
182,exon,0.111963,702,0.284387,0.254402,0.264469,0.196742,0.598288,1.000000,0.011461,0.116085,0.351282,0.249448
183,exon,0.449028,315,0.292459,0.226116,0.219987,0.261438,0.183369,1.000000,0.044040,0.097187,0.179920,0.210122
184,exon,0.767280,918,0.308349,0.229390,0.250304,0.211958,0.133189,1.000000,0.030983,0.068556,0.245626,0.252452
185,exon,0.116109,320,0.311955,0.219643,0.249658,0.218743,0.241017,1.000000,0.027939,0.116753,0.316933,0.249766
186,exon,0.185563,2079,0.292565,0.227080,0.243780,0.236575,0.172496,1.000000,0.108414,0.049986,0.345147,0.133480
187,exon,0.684621,709,0.400195,0.166791,0.195201,0.237814,0.197183,1.000000,0.075637,0.180349,0.256074,0.176680
188,exon,0.261223,483,0.310692,0.190136,0.217516,0.281657,0.305795,1.000000,0.034406,0.156444,0.176471,0.370826
189,exon,0.915733,540,0.292658,0.250255,0.242079,0.215007,0.186136,1.000000,0.017471,0.056600,0.253751,0.248719
190,exon,0.348741,557,0.411892,0.188703,0.197807,0.201598,0.554510,1.000000,0.088365,0.096130,0.173164,0.327586
191,exon,0.199759,669,0.346583,0.210167,0.239831,0.203419,0.129159,1.000000,0.079700,0.136509,0.275119,0.142289
192,exon,0.262217,774,0.312044,0.232469,0.234956,0.220531,0.668180,1.000000,0.019872,0.130929,0.242134,0.224452
193,exon,0.238751,1294,0.332668,0.236329,0.243301,0.187702,0.923947,1.000000,0.067244,0.103540,0.283644,0.190033
194,exon,0.063308,479,0.361685,0.204881,0.240755,0.192678,0.187348,1.000000,0.186918,0.089486,0.291808,0.132787
195,exon,0.113995,694,0.306347,0.212423,0.265754,0.215477,0.452000,1.000000,0.004686,0.035512,0.315418,0.287024
196,exon,0.214991,1312,0.308242,0.265364,0.248119,0.178276,0.094887,1.000000,0.080144,0.147322,0.262168,0.184756
197,exon,0.463528,482,0.349447,0.255559,0.238160,0.156835,0.885569,1.000000,0.006088,0.213206,0.260389,0.151481
198,exon,0.121410,728,0.314889,0.238956,0.232508,0.213647,0.411109,1.000000,0.057000,0.066163,0.213634,0.295835
199,exon,0.307256,1022,0.247846,0.300073,0.267856,0.184226,0.858935,1.000000,0.041275,0.083309,0.301843,0.209915
200,exon,0.104542,1368,0.253648,0.197972,0.267457,0.280922,0.459908,1.000000,0.110793,0.080482,0.228926,0.280071
201,exon,0.152999,331,0.290727,0.210849,0.224836,0.273588,0.229212,1.000000,0.013587,0.114585,0.223423,0.228961
202,exon,0.846729,689,0.317539,0.200451,0.249883,0.232127,0.058938,1.000000,0.015060,0.104112,0.348672,0.148695
203,exon,0.111665,971,0.334428,0.256192,0.260402,0.148977,0.442297,1.000000,0.022087,0.123935,0.250126,0.242018
204,exon,0.058306,444,0.328724,0.239125,0.230471,0.201680,0.166811,1.000000,0.040964,0.135714,0.329051,0.299645
205,exon,0.183134,334,0.315903,0.253748,0.202192,0.228158,0.320739,1.000000,0.098711,0.132412,0.433406,0.166023
206,exon,0.135675,481,0.314708,0.206156,0.259046,0.220089,0.147486,1.000000,0.040275,0.160671,0.310667,0.206322
207,exon,0.139151,1173,0.295376,0.180579,0.275007,0.249038,0.570195,1.000000,0.008399,0.243951,0.351038,0.109384
208,exon,0.064985,297,0.329161,0.268703,0.183370,0.218766,0.239919,1.000000,0.035937,0.061736,0.362368,0.171876
209,exon,0.161791,782,0.266587,0.248067,0.229658,0.255687,0.351230,1.000000,0.038575,0.075971,0.284240,0.173731
210,exon,0.220975,694,0.347472,0.199202,0.239132,0.214193,0.124331,1.000000,0.024884,0.181320,0.240334,0.182004
211,exon,0.124690,460,0.303759,0.191925,0.270552,0.233763,0.566850,1.000000,0.009715,0.057209,0.241992,0.182421
212,exon,0.097785,926,0.327877,0.189003,0.251191,0.231928,0.858792,1.000000,0.022881,0.069862,0.343891,0.132869
213,exon,0.101893,1472,0.257035,0.220607,0.271763,0.250594,0.536919,1.000000,0.028770,0.149514,0.247892,0.254825
214,exon,0.439514,419,0.374326,0.194267,0.232309,0.199098,0.690960,1.000000,0.075747,0.196918,0.347377,0.126232
215,exon,0.778043,934,0.347818,0.216964,0.240271,0.194947,0.271031,1.000000,0.134724,0.101238,0.234090,0.224216
216,exon,0.411345,1379,0.334427,0.198444,0.237935,0.229194,0.131568,1.000000,0.033418,0.097513,0.291539,0.155766
217,exon,0.124450,781,0.305680,0.278855,0.260833,0.154632,0.198570,1.000000,0.114446,0.089601,0.293216,0.188113
218,exon,0.268688,521,0.334481,0.260203,0.237763,0.167554,0.283121,1.000000,0.005409,0.110162,0.340025,0.206568
219,exon,0.270384,1094,0.336675,0.217011,0.242501,0.203812,0.175822,1.000000,0.025414,0.119935,0.404557,0.134752
220,exon,0.051926,1114,0.284124,0.263094,0.263613,0.189169,0.350962,1.000000,0.057042,0.104320,0.202361,0.203316
221,exon,0.307802,179,0.331929,0.195751,0.252904,0.219416,0.298047,1.000000,0.033773,0.068189,0.311810,0.247080
222,exon,0.424083,317,0.279539,0.240904,0.231442,0.248116,0.183845,1.000000,0.028166,0.101792,0.264171,0.177733
