method factor replica nl ei1 ei2 fp fn rf
fastTree 7 7 1000 996 970 249 275 0.266531
iqtree 7 7 1000 996 997 266 265 0.266433
raxml 7 7 1000 996 997 258 257 0.258404
fastTree 7 8 1000 996 975 257 278 0.271436
iqtree 7 8 1000 996 997 290 289 0.290517
raxml 7 8 1000 996 997 276 275 0.276468
fastTree 7 9 1000 996 971 271 296 0.288256
iqtree 7 9 1000 996 997 304 303 0.304566
raxml 7 9 1000 996 997 296 295 0.296538
fastTree 8 0 1000 996 692 370 674 0.618483
iqtree 8 0 1000 996 997 674 673 0.675866
raxml 8 0 1000 996 997 671 670 0.672855
fastTree 8 1 1000 996 696 365 665 0.608747
iqtree 8 1 1000 996 997 680 679 0.681887
raxml 8 1 1000 996 997 642 641 0.643753
fastTree 8 2 1000 996 704 387 679 0.627059
iqtree 8 2 1000 996 997 686 685 0.687908
raxml 8 2 1000 996 997 679 678 0.680883
fastTree 8 3 1000 996 710 360 646 0.589683
iqtree 8 3 1000 996 997 656 655 0.657802
raxml 8 3 1000 996 997 637 636 0.638736
fastTree 8 4 1000 996 730 360 626 0.571263
iqtree 8 4 1000 996 997 638 637 0.639739
raxml 8 4 1000 996 997 627 626 0.628700
fastTree 8 5 1000 996 706 356 646 0.588719
iqtree 8 5 1000 996 997 662 661 0.663823
raxml 8 5 1000 996 997 621 620 0.622679
fastTree 8 6 1000 996 687 368 677 0.620915
iqtree 8 6 1000 996 997 678 677 0.679880
raxml 8 6 1000 996 997 635 634 0.636729
fastTree 8 7 1000 996 690 368 674 0.618031
iqtree 8 7 1000 996 997 680 679 0.681887
raxml 8 7 1000 996 997 652 651 0.653788
fastTree 8 8 1000 996 705 374 665 0.610817
iqtree 8 8 1000 996 997 674 673 0.675866
raxml 8 8 1000 996 997 668 667 0.669844
fastTree 8 9 1000 996 717 378 657 0.604203
iqtree 8 9 1000 996 997 659 658 0.660813
raxml 8 9 1000 996 997 632 631 0.633718
fastTree 9 0 1000 996 221 136 911 0.860312
iqtree 9 0 1000 996 997 911 910 0.913698
raxml 9 0 1000 996 997 900 899 0.902659
fastTree 9 1 1000 996 193 123 926 0.882254
iqtree 9 1 1000 996 997 926 925 0.928751
raxml 9 1 1000 996 997 918 917 0.920723
fastTree 9 2 1000 996 194 126 928 0.885714
iqtree 9 2 1000 996 997 926 925 0.928751
raxml 9 2 1000 996 997 925 924 0.927747
fastTree 9 3 1000 996 215 137 918 0.871181
iqtree 9 3 1000 996 997 921 920 0.923733
raxml 9 3 1000 996 997 912 911 0.914701
fastTree 9 4 1000 996 187 119 928 0.885038
iqtree 9 4 1000 996 997 928 927 0.930758
raxml 9 4 1000 996 997 921 920 0.923733
fastTree 9 5 1000 996 223 142 915 0.867104
iqtree 9 5 1000 996 997 915 914 0.917712
raxml 9 5 1000 996 997 906 905 0.908680
fastTree 9 6 1000 996 197 128 927 0.884325
iqtree 9 6 1000 996 997 927 926 0.929754
raxml 9 6 1000 996 997 923 922 0.925740
fastTree 9 7 1000 996 204 129 921 0.875000
iqtree 9 7 1000 996 997 922 921 0.924737
raxml 9 7 1000 996 997 915 914 0.917712
fastTree 9 8 1000 996 200 123 919 0.871237
iqtree 9 8 1000 996 997 922 921 0.924737
raxml 9 8 1000 996 997 910 909 0.912694
fastTree 9 9 1000 996 195 133 934 0.895886
iqtree 9 9 1000 996 997 935 934 0.937782
raxml 9 9 1000 996 997 926 925 0.928751
